;period;start;end;n;missing;start;end;n;missing;log;adjust;mean;nlp;lp;ntd;nmh;td-derived;td-ftest;easter;leaster;nout;nao;nls;ntc;nso;td(1);;;td(2);;;td(3);;;td(4);;;td(5);;;td(6);;;outlier(1);;;outlier(2);;;outlier(3);;;outlier(4);;;outlier(5);;;outlier(6);;;outlier(7);;;outlier(8);;;outlier(9);;;outlier(10);;;outlier(11);;;outlier(12);;;outlier(13);;;outlier(14);;;outlier(15);;;outlier(16);;;outlier(17);;;outlier(18);;;outlier(19);;;outlier(20);;;outlier(21);;;outlier(22);;;outlier(23);;;outlier(24);;;outlier(25);;;outlier(26);;;outlier(27);;;outlier(28);;;outlier(29);;;outlier(30);;;nusers;mu;;;neffectiveobs;nparams;ll;adjustedll;ssqerr;aic;bic;aicc;bicc;hannanquinn;df;nobs;bic2;ser;type;mean;skewness;;kurtosis;;doornikhansen;lb;lb2;;seaslb;bp;bp2;seasbp;nudruns;ludruns;nruns;lruns;p;d;q;bp;bd;bq;phi(1);;;phi(2);;;phi(3);;;bphi(1);;;theta(1);;;theta(2);;;btheta(1);;;mode;seasonal;cycle;seasonality;irregular;tdh;others;total;fcast-insample-mean;fcast-outsample-mean;fcast-outsample-variance;seas-lin-qs;seas-lin-f;seas-lin-friedman;seas-lin-kw;seas-lin-periodogram;seas-lin-spectralpeaks;seas-lin-combined;seas-lin-evolutive;seas-lin-stable;seas-si-combined;seas-si-combined3;seas-si-evolutive;seas-si-stable;seas-res-qs;seas-res-f;seas-res-kw;seas-res-friedman;seas-res-periodogram;seas-res-spectralpeaks;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-i-f;;seas-i-qs;;seas-i-kw;seas-i-friedman;seas-i-periodogram;seas-i-spectralpeaks;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-sa-f;;seas-sa-qs;;seas-sa-kw;seas-sa-friedman;seas-sa-periodogram;seas-sa-spectralpeaks;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-sa-ac1;td-sa-all;td-sa-last;td-i-all;td-i-last;td-res-all;td-res-last;icratio;d9-global-msr;trend-filter;seasonal-filters;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;summary;f-test on sa (td);;f-test on i (td);;qs test on sa;;qs test on i;;f-test on sa (seasonal dummies);;f-test on i (seasonal dummies);
RF1721;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;6;0;NA;125,756208;NA;0;5;5;0;0;0;r.LY;0,042175;4,5747;r.REG5_Lundi;0,001161;0,5523;r.REG5_Mardi;0,018126;7,2882;r.REG5_Mercredi;0,010659;4,281;r.REG5_Jeudi;0,013823;5,6274;r.REG5_Vendredi;0,005377;2,4558;AO (3-2020);-0,076024;-4,428;AO (4-2020);-0,16332;-9,2646;AO (5-2020);-0,107532;-6,0267;AO (6-2020);-0,072855;-4,2477;AO (5-2024);0,091165;5,1581;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;14;358,477575384;-286,050323783;0,047903228;600,100647566;641,383286032;603,4339809;-7,531063626;616,87648407;127;154;-4,593422073;0;FullResiduals;0,410026;-0,262555;0,2031;3,136393;0,741;1,851219;23,519488;19,46649;0,6164;0,728152;20,85057;17,680186;0,656864;0,46907;5,616548;0,592252;5,664601;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,540929;-7,3934;0;NA;NA;NA;-0,720172;-7,6453;0;Multiplicative;1;0,090427744;0,7112552;0,005842986;0,154074257;0,057545136;1,019145324;0,453297033;0,58607686;0,040142095;253,332033;176,502626;125,192308;143,34315;384,201675;At.At.AT.AT.At.AT;Present;0,063701145;0;Present;Present;0,036242395;0;0,728152;0,834312;7,989861;9,027972;1,075747;--.--.A-.--.--.At;None;None;0,756086505;0,589866596;0,372445;0,9646;0;1;2,23202;3,5;0,435819;-t.--.--.--.--.--;None;None;0,987277522;0,887338223;0,512829;0,892;0;1;3,912117;7,602564;0,608626;--.--.--.--.--.--;None;None;0,399362946;0,961940508;-0,482400005;0,749482;0,749482;0,850888;0,850888;0,704801;0,704801;2,415914709;4,608392339;13;S3X5;0,110704872;0,061997517;0,707957354;0,497354549;0,79196098;0,243356936;0,13957279;0,230078884;0,140785745;0,28789999;0,272408357;0,313421675;0,344496571;Good;0,749482211477578;0,610770414095752;0,850887506329949;0,53278989496944;0;1;0;1;0,512828645014395;0,891960916737947;0,372444700438429;0,964637063906131
RF1722;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;2;0;NA;66,120523;NA;0;4;4;0;0;0;r.LY;0,025775;1,5087;r.REG1_Semaine;0,008718;11,3806;;NA;NA;;NA;NA;;NA;NA;;NA;NA;AO (3-2020);0,214433;7,1637;AO (4-2020);-0,063692;-2,1144;AO (5-2020);-0,082417;-2,7428;AO (7-2022);-0,125757;-4,2233;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;9;280,612273283;-367,36693305;0,123572651;752,733866101;779,272705114;754,107911902;-6,758905216;763,518332425;132;154;-3,664437642;0;FullResiduals;-0,108992;-0,144782;0,4828;3,187205;0,65;1,191874;27,826871;12,166809;0,9538;0,214997;24,996174;10,921736;0,193948;0,46907;2,637397;-1,202606;13,118649;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,704069;-9,8145;0;NA;NA;NA;-0,999853;-6,2928;0;Multiplicative;1;0,141911511;0,400778222;0,142338393;0,282686108;0,207452501;1,175166735;0,926693934;0,935977632;0,70495686;106,255969;12,219187;86,589744;99,448711;22,902049;--.--.--.At.--.aT;Present;0,190107393;0;Present;None;0,363536778;0;0,214997;0,682086;9,12528;9,573427;0,630326;--.--.--.a-.--.-T;None;None;0,398652546;0,763032818;0,376551;0,9631;0;1;1,127978;1,102564;0,27449;--.--.--.--.--.--;None;None;0,186985716;0,971410753;0,162205;0,999;0;1;1,375964;1,269231;0,094734;--.--.--.--.--.--;None;None;0,342558905;0,988745673;-0,579711851;1,570303;1,570303;1,710065;1,710065;1,078112;1,078112;4,014676933;5,591019239;23;S3X5;3;1,79596041;1,507338466;0,422751366;1,905735485;0,636407696;0,529227231;0,844719491;0,393707399;0,919509997;0,740438893;1,203730013;1,130532998;Good;1,57030291369748;0,159781652489025;1,7100651874045;0,12254719917147;0;1;0;1;0,162205364387769;0,99900339015378;0,376550596533068;0,963149771327155
RF1723;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;1;0;NA;NA;NA;0;6;4;1;1;0;r.REG1_Semaine;0,011956;9,9528;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;TC (1-2020);-0,371909;-6,7055;AO (3-2020);-0,242193;-4,6533;AO (4-2020);-0,374034;-6,6134;AO (5-2020);-0,088542;-1,6869;LS (11-2020);-0,225879;-3,9217;AO (9-2021);0,206297;4,5046;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;10;167,83190336;-492,047524962;0,760729432;1004,095049925;1033,582648828;1005,787357617;-4,906359127;1016,077790285;131;154;-2,029618495;0;FullResiduals;-0,106248;-0,099699;0,6289;3,15064;0,715;0,880878;37,483837;30,932754;0,0975;1,997671;33,677753;27,171199;1,634458;1,072161;6,026674;-1,098185;5,858088;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,209649;-2,4446;0,0158;NA;NA;NA;-0,199237;-2,3342;0,0211;Multiplicative;1;0,11576131;0,574881268;0,00868615;0,020153615;0,253717854;0,973200197;0,959520093;0,897711598;0,282670168;237,36805;46,248154;99,576923;113,722568;53,498695;At.At.AT.AT.At.AT;None;0;0;None;Present;0;0;1,997671;1,097291;12,884028;8,916084;0,838618;A-.--.--.--.a-.--;None;None;0,823113162;0,407461349;0,735596;0,7027;2,449867;0,2938;1,932735;1,782051;0,656671;A-.--.a-.--.At.a-;None;None;0,46519383;0,780574529;1,098003;0,3679;0,907867;0,6351;4,946407;5,230769;1,114865;a-.--.a-.--.At.--;None;None;0,003437468;0,794884807;-0,24300495;2,179258;2,179258;2,663575;2,663575;2,505491;2,505491;1,696299808;1,407947036;13;S3X3;0,164861135;0,116392305;0,348149904;1,06931228;0,484860835;1,036821186;1,071708727;1,126966713;0,968269579;1,421393652;1,392916621;0,727922727;0,813072532;Good;2,17925760594985;0,0481901542538831;2,66357480971886;0,0175607479557898;0,907867345498976;0,635124857934464;2,44986725241311;0,293777198783543;1,09800300604477;0,367864248424794;0,735595692467862;0,702723729789026
RF1724;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;1;0;NA;NA;NA;0;3;3;0;0;0;r.LY;0,120591;1,4952;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;AO (8-2012);0,651973;4,1975;AO (3-2020);-0,303174;-2,0999;AO (4-2020);-0,53529;-3,7146;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;7;48,858897905;-588,799479358;3,918235383;1191,598958717;1212,240277949;1192,44106398;-3,372532968;1199,986876969;134;154;-0,447350898;0;FullResiduals;-0,043056;0,341169;0,0982;3,83999;0,0418;5,913824;24,486804;14,732782;0,8734;0,259732;21,398604;13,656877;0,234304;1,072161;2,365683;0,62254;13,17757;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,661377;-11,8368;0;NA;NA;NA;-0,656888;-7,7783;0;Multiplicative;1;0,211389713;0,761148648;0,03082016;0,002113584;0,041327806;1,046799911;0,50045808;0,128556091;0,985395557;217,345816;41,360799;68,974359;80,167117;61,677283;AT.AT.AT.AT.At.AT;Present;0,266861253;0;Present;ProbablyNone;0,610434777;0;0,259732;0,679899;8,33544;8,440559;0,67266;--.A-.--.A-.--.a-;None;None;0,197802917;0,749246113;0,262574;0,9913;0;1;1,606932;2,384615;0,247338;--.--.--.At.--.--;None;None;0,158522479;0,973731681;0,192682;0,9978;0;1;1,617957;1,935897;0,222953;--.--.--.at.--.--;None;None;2,532e-06;0,998664938;-0,529122781;1,18592;1,18592;1,407218;1,407218;0,797673;0,797673;3,12468058;3,776377182;13;S3X5;0,41774252;0,321487995;1,06234029;0,422751366;1,042387885;0,089449127;0,318714027;0,686153595;0,356097994;0,76165267;0,707873649;0,529906839;0,555666471;Good;1,18591994898516;0,316987075244703;1,40721817564409;0,21561128233635;0;1;0;1;0,192681890010936;0,997784866149597;0,262574285609584;0,991318507264803
RF1729;12;2013-01-01;2024-10-01;142;0;2013-01-01;2024-10-01;142;0;1;None;0;0;NA;6;0;NA;39,460631;NA;0;5;4;1;0;0;r.REG6_Lundi;0,001604;0,4408;r.REG6_Mardi;0,018754;4,1928;r.REG6_Mercredi;0,012105;2,7431;r.REG6_Jeudi;0,014246;3,2428;r.REG6_Vendredi;-0,000547;-0,1247;r.REG6_Samedi;-0,019273;-4,4498;LS (1-2015);-0,111435;-4,5896;AO (4-2017);-0,053064;-1,9502;AO (4-2020);-0,149733;-5,3425;AO (5-2020);-0,086614;-2,977;AO (6-2020);-0,028392;-1,0143;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;129;14;267,093267715;-321,443275329;0,106396843;670,886550658;710,923924319;674,570761184;-6,610643237;687,154546101;115;142;-3,613559394;0;FullResiduals;-0,392111;0,394491;0,0674;3,196486;0,6487;3,478548;23,258749;17,08047;0,7589;0,403474;20,515532;15,240661;0,360355;-0,981399;2,192768;-0,941521;8,897587;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,611596;-8,6884;0;NA;NA;NA;-0,851369;-6,7965;0;Multiplicative;1;0,145071585;0,710146011;0,012566376;0,089685844;0,193106801;1,150576618;0,466424593;0,240832025;0,100417016;216,292777;123,446206;111,853147;128,622088;241,421144;At.At.AT.At.At.AT;Present;0,442288768;0;Present;ProbablyNone;0,367078606;0;0,403474;1,156909;11,654643;10,553846;1,068912;--.a-.--.-t.--.--;None;None;0,258277343;0,208316018;0,535486;0,8761;0;1;2,085183;2,902098;0,726617;--.--.--.--.--.--;None;None;0,101918862;0,969731512;0,250114;0,9929;0;1;2,269145;3,965035;0,593998;--.--.--.--.--.--;None;None;0,000299048;0,984089677;-0,43349796;0,493695;0,493695;0,561067;0,561067;0,65793;0,65793;2,890162955;5,410108402;13;S3X5;0,233673435;0,155737791;0,945081478;0,103640843;0,899541603;0,564043361;0,159812564;0,250690951;0,131635545;0,289587609;0,247197023;0,37565233;0,402832778;Good;0,493694520094746;0,812185791102907;0,561066632440705;0,760639451560303;0;1;0;1;0,250114368321972;0,992931470653903;0,535486343915253;0,876093659418656
RF1812;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;7;0;NA;25,222542;NA;0;12;12;0;0;0;r.LY;0,031676;1,9084;r.REG6_Lundi;0,000763;0,1974;r.REG6_Mardi;0,012674;2,7462;r.REG6_Mercredi;0,019048;4,2271;r.REG6_Jeudi;0,00607;1,3556;r.REG6_Vendredi;0,003607;0,7976;AO (3-2020);-0,241551;-7,7233;AO (4-2020);-0,598698;-18,4096;AO (5-2020);-0,314234;-9,3944;AO (6-2020);-0,215534;-6,6933;AO (7-2020);-0,059983;-1,8123;AO (8-2020);-0,05301;-1,7088;AO (11-2020);-0,039646;-1,3282;AO (1-2021);-0,067113;-2,178;AO (2-2021);-0,086639;-2,7093;AO (3-2021);-0,085057;-2,6197;AO (4-2021);-0,061608;-1,9217;AO (5-2021);-0,050809;-1,5567;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;22;282,626633424;-370,23292805;0,14205585;784,465856101;849,338573689;793,042127287;-6,163245536;810,827884893;119;154;-3,236741484;0;FullResiduals;0,230892;-0,098131;0,6343;3,239622;0,5614;1,284931;23,16447;33,373947;0,0568;0;20,482484;30,045888;0;-0,33505;3,334623;-0,760097;6,11327;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,567127;-6,8552;0;NA;NA;NA;-0,670291;-8,6296;0;Multiplicative;1;0,261142063;0,594789174;0,025817267;0,110110554;0,519663068;1,511522127;0,892590164;0,300760261;0,506355785;218,316881;66,74644;111,397436;128,809899;88,556606;At.At.AT.At.At.--;Present;0,194825802;0;Present;Present;0,242912746;0;0;1,462415;15,873539;18,51049;1,40579;--.--.a-.--.A-.--;None;None;0,078257124;0,150975295;0,288218;0,9872;0;1;0,91766;1,705128;0,28668;--.--.--.--.a-.--;None;None;0,183168609;0,977812697;0,25177;0,9927;0;1;3,35714;3,141026;0,27112;--.--.--.--.a-.--;None;None;0,003443085;0,989976596;-0,392988816;0,661122;0,661122;0,779293;0,779293;0,63575;0,63575;3,246331399;4,432180674;13;S3X5;0,337314981;0,537482452;1,1231657;0,621693186;1,074881391;0,17287227;0,234012075;0,443879078;0,349030069;0,488994648;0,482884521;0,526931753;0,525627734;Good;0,66112186128529;0,681135160241055;0,779292993155211;0,587433278428901;0;1;0;1;0,251770383333249;0,992744545925969;0,288218330022378;0,987172254353757
RF1813;12;2013-01-01;2024-10-01;142;0;2013-01-01;2024-10-01;142;0;1;None;0;0;NA;1;0;NA;NA;NA;0;5;4;1;0;0;r.REG1_Semaine;0,007768;5,2939;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;AO (3-2020);-0,256211;-4,2493;AO (4-2020);-0,50534;-8,0033;AO (5-2020);-0,184529;-2,8029;AO (6-2020);-0,152857;-2,2427;LS (7-2020);-0,154322;-2,7079;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;129;9;173,883211462;-426,102587005;0,418008054;870,205174009;895,943485648;871,717779051;-5,430683269;880,663171079;120;142;-2,356807064;0;FullResiduals;0,473909;0,785185;3e-04;4,452929;8e-04;11,949388;19,552808;11,009338;0,9746;1,053404;17,652948;10,074919;0,844331;-1,401999;6,475995;-0,612905;12,336899;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,695686;-9,4807;0;NA;NA;NA;-0,961373;-2,5512;0,012;Multiplicative;1;0,125884396;0,40592386;0,030924345;0,025679844;0,402097896;0,990510341;0,785077762;0,302365579;0,401520586;163,031969;30,973503;84,58042;98,53517;39,685891;--.At.AT.At.--.At;Present;0,350883655;0;Present;Present;0,428079641;0;1,053404;0,699348;8,934149;15,138462;1,237688;--.-t.--.--.--.A-;None;None;0,774841581;0,71877109;1,040149;0,4154;0;1;2,902711;2,370629;0,831882;--.--.-t.--.--.A-;None;None;0,731288812;0,323314088;0,993774;0,4557;0;1;5,881117;5,237762;0,899965;--.--.-t.--.--.A-;None;None;0,797645203;0,263668742;-0,503190868;0,934425;0,934425;1,162162;1,162162;0,943738;0,943738;2,669317042;5,535078773;13;S3X5;0,572089748;0,517214187;0,834658521;0,103640843;1,358909914;0,614031509;0,311494549;0,462831529;0,296991866;0,431800502;0,385502874;0,558691688;0,563818121;Good;0,934425418203825;0,472590532078275;1,16216168353159;0,330370776520363;0;1;0;1;0,993774293278898;0,455663296932618;1,04014945115808;0,41537942544482
RF1920;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;0;0;NA;NA;NA;0;14;11;0;3;0;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;AO (11-2013);0,199851;4,4045;TC (5-2016);-0,29451;-4,7251;AO (6-2016);-0,305915;-6,6803;AO (5-2018);-0,233929;-5,1338;AO (3-2020);-0,412574;-6,7586;AO (4-2020);-0,347681;-4,6955;AO (5-2020);-0,205331;-3,357;AO (8-2020);-0,12166;-2,6572;AO (12-2020);-0,271703;-4,4235;AO (1-2021);-0,208539;-2,8063;AO (2-2021);-0,166706;-2,7305;AO (10-2022);-0,650243;-14,3803;TC (3-2023);-0,578117;-9,4346;TC (5-2023);0,269815;4,3836;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;140;20;177,140290555;-513,661447995;0,501102592;1067,32289599;1126,155744443;1074,38171952;-4,961935375;1091,230805997;120;154;-1,824626662;0;FullResiduals;-0,125046;-0,213539;0,3023;3,604068;0,1446;3,88506;21,515851;20,905445;0,342;0,027683;19,035009;19,057761;0,024954;0,201756;2,141994;-0,641905;3,016401;3;2;1;0;1;1;-0,048969;-0,5439;0,5875;0,132975;1,5184;0,1316;0,196031;2,1813;0,0311;NA;NA;NA;-0,984654;-12,0157;0;NA;NA;NA;-0,999938;-7,2242;0;Multiplicative;1;0,815868523;0,115754677;0,031899586;0;0,4881074;1,451630186;0,98481771;0,408898308;0,289940377;39,286703;8,520869;53,423077;62,829657;8,905332;At.-t.AT.AT.AT.--;Present;0,150890716;0;Present;ProbablyNone;0,439058909;0;0,027683;0,795922;9,44673;9,167832;0,729982;--.--.--.--.--.--;None;None;0,453094525;0,607578755;0,411447;0,949;0;1;1,796139;1,423077;0,430865;--.--.--.--.--.a-;None;None;0,033729568;0,971021795;0,307444;0,9833;0;1;3,224204;3,589744;0,318981;--.--.--.--.--.a-;None;None;0,010531225;0,990274939;-0,025068104;0,421245;0,421245;0,420338;0,420338;0,609867;0,609867;1,602611809;4,716199491;13;S3X5;1,786270552;0,623169501;0,301305905;0,920105915;0,616393629;0,286479797;0,583817092;1,138872055;0,565543382;0,759655968;0,689099785;0,72971243;0,742880657;Good;0,42124540877098;0,863968123303818;0,420338404648969;0,864581645898294;0;1;0;1;0,307443810312191;0,983295177322071;0,411446874958626;0,948954866628052
RF2011;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;0;None;0;0;NA;5;0;NA;3,944937;NA;0;4;4;0;0;0;r.REG5_Lundi;-0,194965;-0,3965;r.REG5_Mardi;1,420832;2,3893;r.REG5_Mercredi;0,362437;0,6179;r.REG5_Jeudi;-0,540783;-0,9322;r.REG5_Vendredi;0,471885;0,9116;;NA;NA;AO (3-2020);-6,448782;-1,5538;AO (4-2020);-20,669824;-4,6988;AO (5-2020);-11,959507;-2,6831;AO (6-2020);-9,650047;-2,2905;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;12;-416,043571197;-416,043571197;2683,302083313;856,087142395;891,472261079;858,524642395;3,332117012;870,466430826;129;154;6,322498306;0;FullResiduals;-0,81619;-0,012791;0,9506;3,378819;0,3585;2,025429;27,269426;28,449102;0,1613;0,223679;24,33903;25,615925;0,201781;-0,938141;3,141965;-0,42201;5,860945;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,396867;-4,0017;1e-04;NA;NA;NA;-0,866841;-7,5331;0;Additive;1;0,598461387;0,212216872;0,072640854;0,034865767;0,111437636;1,029622516;0,221394497;0,405971526;0,750606119;78,872827;11,930475;73,653846;87,678505;14,662531;--.--.AT.At.--.AT;Present;0,646004314;1e-09;Present;ProbablyNone;0,435394737;0;0,223679;1,192885;12,932061;12,328671;0,996125;--.--.--.--.--.--;None;ProbablyNone;0,143326587;0,286696318;0,164306;0,9989;0;1;1,312272;0,551282;0,165582;--.--.--.--.--.--;None;None;0,531899432;0,997412686;0,135044;0,9996;0;1;1,792511;1,884615;0,149738;--.--.--.--.--.--;None;None;0,002856851;0,99941339;-0,262254233;0,440343;0,440343;0,479349;0,479349;0,458022;0,458022;2,306406594;4,435576655;13;S3X5;2,080009515;0,817509914;0,653203297;0,397883639;0,785757321;0,174230662;0,672514893;1,228844283;0,659592141;1,352215546;1,226442233;0,855323976;0,859997624;Good;0,440343476771996;0,850839235209852;0,479349466098263;0,822900999693841;0;1;0;1;0,135044418219487;0,999584542262125;0,164306490422812;0,998941198173576
RF2012;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;0;None;0;0;NA;0;0;NA;NA;NA;0;5;3;0;2;0;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;TC (9-2012);-62,371113;-6,2827;TC (10-2014);-39,985175;-4,0768;AO (3-2020);-17,054096;-1,5088;AO (4-2020);-16,421002;-1,4493;AO (5-2020);-16,97661;-1,5019;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;8;-555,748481728;-555,748481728;18742,345996004;1127,496963455;1151,087042578;1128,587872546;5,135463959;1137,083155743;133;154;8,163737891;0;FullResiduals;1,341877;-0,062854;0,7606;3,598141;0,1471;3,738593;18,313059;39,411524;0,0127;0;16,199753;35,235689;0;-2,345351;15,517772;-0,055283;8,083103;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,778928;-13,7771;0;NA;NA;NA;-0,9192;-5,9247;0;Additive;1;0,247570061;0,520364329;0,184197393;0;0,241601119;1,193732901;0,181681968;0,608777121;0,943356385;80,119329;16,544562;77,051282;85,527169;20,081528;At.at.AT.AT.--.AT;Present;0,474955931;0;Present;ProbablyNone;0,739896113;0;0;1,32022;18,404446;17,34965;1,2748;--.at.-t.--.a-.--;None;None;0,175652033;0,286971167;0,181996;0,9983;0;1;1,470604;1,871795;0,198349;--.--.--.--.--.--;None;None;0,013047014;0,991857435;0,228036;0,9953;0;1;2,588908;2,564103;0,244191;--.--.--.--.--.--;None;None;0,003050909;0,999042501;-0,498856316;1,599138;1,599138;1,653038;1,653038;1,924539;1,924539;3,93770552;5,774364624;23;S3X5;2,575277395;2,428766672;1,46885276;0,124338637;3;0,709745849;0,464683398;0,883896064;0,329646732;0,786292642;0,660056403;1,308943995;1,170538944;Uncertain;1,59913817101888;0,151360288669393;1,65303757372162;0,136675345406833;0;1;0;1;0,228035583164334;0,995283465598529;0,181995923213335;0,99829531622187
