;start;end;n;arima;mean;p;d;q;bp;bd;bq;m7;q;q-m2;mean;;mse;;nout;kurtosis;;;skewness;;;lb2;;;seas-sa-qs;;seas-sa-qs;seas-sa-f;;seas-i-qs;;seas-i-qs;seas-i-f;;td-sa-last;;td-i-last;;lb;;;dh;;;doornikhansen;;
RF1031;2012-01-01;2023-12-01;144;;;1;0;1;0;1;1;0,300074181;0,867488456;0,863093932;;;;;7;2,773809;0,5958;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,379676;0,0749;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;24,308125;0,2784;Chi2 with 21.0 degrees of freedom ;0;1;0;0,286403;0,9875;0;1;0;0,274855;0,9895;1,079159;0,3781;1,111001;0,3592;20,526583;0,4882;Chi2 with 21.0 degrees of freedom ;;;;4,643281;0,0981;Chi2 with 2.0 degrees of freedom 
RF1032;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,530272175;0,715277602;0,713885968;;;;;2;2,608941;0,3609;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,031872;0,8816;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;30,320591;0,1109;Chi2 with 22.0 degrees of freedom ;0;1;0;0,192416;0,9978;0;1;0;0,404028;0,9522;0,377149;0,8925;0,32393;0,9235;20,894481;0,5273;Chi2 with 22.0 degrees of freedom ;;;;0,410884;0,8143;Chi2 with 2.0 degrees of freedom 
RF1039;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,17843156;0,658110996;0,734485035;;;;;2;2,995445;0,9915;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,0562;0,7921;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;17,56796;0,7313;Chi2 with 22.0 degrees of freedom ;0;1;0;1,204105;0,2906;0;1;0;1,344453;0,2074;0,745531;0,614;0,778868;0,5879;14,492332;0,8831;Chi2 with 22.0 degrees of freedom ;;;;0,274658;0,8717;Chi2 with 2.0 degrees of freedom 
RF1041;2012-01-01;2023-12-01;144;;;1;0;0;1;0;1;0,523300715;1,238827242;1,195958744;;;;;7;4,165631;0,0043;Normal with Mean = 3.0 and Stdev = 0.408248290463863;-0,190186;0,3515;Normal with Mean = 0.0 and Stdev = 0.2041241452319315;14,329639;0,855;Chi2 with 21.0 degrees of freedom ;1,216281;0,5444;1,216281;0,759895;0,6791;0,100134;0,9512;0,100134;0,813744;0,6263;0,689029;0,6588;0,741133;0,6174;8,028408;0,995;Chi2 with 21.0 degrees of freedom ;;;;9,530829;0,0085;Chi2 with 2.0 degrees of freedom 
RF1042;2012-01-01;2023-12-01;144;;;2;1;1;0;1;1;0,473314988;1,047923733;1,077039636;;;;;3;3,316095;0,4602;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,356266;0,096;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;17,677795;0,6086;Chi2 with 20.0 degrees of freedom ;0;1;0;0,911029;0,5319;0;1;0;0,916176;0,527;1,385356;0,2248;1,569068;0,1608;17,254164;0,6364;Chi2 with 20.0 degrees of freedom ;;;;3,115067;0,2107;Chi2 with 2.0 degrees of freedom 
RF1051;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,130767154;0,37577255;0,403493817;;;;;7;3,120362;0,7786;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,015868;0,9409;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;21,454535;0,4928;Chi2 with 22.0 degrees of freedom ;0;1;0;0,17019;0,9988;0;1;0;0,295875;0,9857;0,661661;0,6807;0,778473;0,5882;15,986543;0,8166;Chi2 with 22.0 degrees of freedom ;;;;0,623864;0,732;Chi2 with 2.0 degrees of freedom 
RF1052;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,169189709;0,709276674;0,768779701;;;;;2;3,271806;0,5238;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,28767;0,1772;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;41,578742;0,007;Chi2 with 22.0 degrees of freedom ;0;1;0;0,236828;0,9944;0;1;0;0,321099;0,9801;1,305957;0,2586;1,569775;0,1606;14,911639;0,866;Chi2 with 22.0 degrees of freedom ;;;;2,334427;0,3112;Chi2 with 2.0 degrees of freedom 
RF1061;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,371152809;0,888505259;0,882902598;;;;;1;3,246714;0,5643;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,001937;0,9928;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;21,09021;0,5152;Chi2 with 22.0 degrees of freedom ;0;1;0;0,374317;0,9639;0;1;0;0,44731;0,9314;0,678764;0,667;0,715832;0,6375;16,328188;0,7993;Chi2 with 22.0 degrees of freedom ;;;;1,206433;0,547;Chi2 with 2.0 degrees of freedom 
RF1062;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,433183846;0,586621547;0,575891976;;;;;11;2,970322;0,9447;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,085543;0,6894;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;24,154322;0,3392;Chi2 with 22.0 degrees of freedom ;0;1;0;0,3635;0,9677;0;1;0;0,359521;0,9691;0,850798;0,533;0,870179;0,5187;28,22643;0,1683;Chi2 with 22.0 degrees of freedom ;;;;0,300403;0,8605;Chi2 with 2.0 degrees of freedom 
RF1071;2014-01-01;2023-12-01;120;;;0;1;1;0;1;1;0,277471965;0,351624274;0,359137296;;;;;9;3,190251;0,6879;Normal with Mean = 3.0 and Stdev = 0.47360222277831504;0,150232;0,5258;Normal with Mean = 0.0 and Stdev = 0.23680111138915752;38,038153;0,0181;Chi2 with 22.0 degrees of freedom ;0;1;0;0,52279;0,8842;0;1;0;0,474383;0,9154;0,516849;0,7945;0,450225;0,8435;22,015501;0,459;Chi2 with 22.0 degrees of freedom ;;;;1,155694;0,5611;Chi2 with 2.0 degrees of freedom 
RF1072;2012-01-01;2023-12-01;144;;;2;0;2;0;1;1;0,492245056;1,484125945;1,397208735;;;;;2;2,6945;0,4737;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,146859;0,4909;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;18,80556;0,4694;Chi2 with 19.0 degrees of freedom ;0;1;0;0,1854;0,9981;0;1;0;0,257753;0,992;0,052672;0,9994;0,068126;0,9987;21,267672;0,3222;Chi2 with 19.0 degrees of freedom ;;;;0,788528;0,6742;Chi2 with 2.0 degrees of freedom 
