;start;end;n;arima;mean;p;d;q;bp;bd;bq;m7;q;q-m2;mean;;mse;;nout;kurtosis;;;skewness;;;lb2;;;seas-sa-qs;;seas-sa-qs;seas-sa-f;;seas-i-qs;;seas-i-qs;seas-i-f;;td-sa-last;;td-i-last;;lb;;;dh;;;doornikhansen;;
RF1393;2013-01-01;2023-12-01;132;;;0;1;1;0;1;1;0,338469873;0,798690585;0,8087481;;;;;6;3,068826;0,8782;Normal with Mean = 3.0 and Stdev = 0.44908871313907184;0,107016;0,6337;Normal with Mean = 0.0 and Stdev = 0.22454435656953592;21,341125;0,4998;Chi2 with 22.0 degrees of freedom ;0;1;0;0,618459;0,8101;0;1;0;0,558799;0,8585;0,992231;0,4336;0,93597;0,4718;22,552403;0,4274;Chi2 with 22.0 degrees of freedom ;;;;0,612805;0,7361;Chi2 with 2.0 degrees of freedom 
RF1395;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,228368779;0,426820441;0,44603828;;;;;6;2,739573;0,5429;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,133144;0,5339;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;26,459413;0,2325;Chi2 with 22.0 degrees of freedom ;0;1;0;0,852236;0,5886;0;1;0;0,999317;0,4506;0,543317;0,7745;0,599736;0,7302;24,434994;0,3248;Chi2 with 22.0 degrees of freedom ;;;;0,550724;0,7593;Chi2 with 2.0 degrees of freedom 
RF1396;2013-01-01;2023-12-01;132;;;0;1;1;0;1;1;0,144063338;0,508606769;0,54293255;;;;;6;2,992667;0,987;Normal with Mean = 3.0 and Stdev = 0.44908871313907184;0,325135;0,1476;Normal with Mean = 0.0 and Stdev = 0.22454435656953592;22,038438;0,4576;Chi2 with 22.0 degrees of freedom ;0;1;0;0,289976;0,9867;0;1;0;0,389713;0,9578;2,587931;0,0214;2,838632;0,0127;29,720168;0,1254;Chi2 with 22.0 degrees of freedom ;;;;2,27533;0,3206;Chi2 with 2.0 degrees of freedom 
RF1399;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,154190069;0,340114967;0,344964149;;;;;15;3,211361;0,6214;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,123641;0,5634;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;15,215395;0,8528;Chi2 with 22.0 degrees of freedom ;0;1;0;0,239364;0,9942;1,272811;0,5292;1,272811;0,478327;0,9139;0,862668;0,5242;0,79599;0,5746;24,23332;0,3351;Chi2 with 22.0 degrees of freedom ;;;;1,201321;0,5484;Chi2 with 2.0 degrees of freedom 
RF1412;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,668020156;1,139748419;0,931752201;;;;;6;5,452187;0;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,202909;0,3431;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;38,188403;0,0174;Chi2 with 22.0 degrees of freedom ;0,102891;0,9499;0,102891;0,229386;0,9952;0,106186;0,9483;0,106186;0,330996;0,9776;0,799465;0,5719;0,914682;0,4865;25,945826;0,254;Chi2 with 22.0 degrees of freedom ;;;;26,54951;0;Chi2 with 2.0 degrees of freedom 
RF1413;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,499018698;0,722287248;0,714876544;;;;;3;3,747809;0,0806;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,265765;0,2143;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;28,723173;0,1529;Chi2 with 22.0 degrees of freedom ;0;1;0;0,390716;0,9577;0,072645;0,9643;0,072645;0,566694;0,8528;1,118522;0,3548;1,302993;0,26;28,765951;0,1517;Chi2 with 22.0 degrees of freedom ;;;;4,91349;0,0857;Chi2 with 2.0 degrees of freedom 
RF1414;2012-01-01;2023-12-01;144;;;0;1;1;1;0;0;1,001526061;1,304349973;1,09477525;;;;;6;2,820551;0,6614;Normal with Mean = 3.0 and Stdev = 0.40967324519935133;-0,135117;0,5095;Normal with Mean = 0.0 and Stdev = 0.20483662259967567;29,950937;0,1197;Chi2 with 22.0 degrees of freedom ;4,007473;0,1348;4,007473;1,474609;0,1485;5,362266;0,0685;5,362266;1,527109;0,1291;1,760541;0,1118;1,962628;0,0752;16,368332;0,7972;Chi2 with 22.0 degrees of freedom ;;;;0,50279;0,7777;Chi2 with 2.0 degrees of freedom 
RF1419;2012-01-01;2023-12-01;144;;;0;1;1;1;1;0;0,386717138;0,858920211;0,594292372;;;;;8;2,62598;0,3822;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,10656;0,6185;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;11,296907;0,9703;Chi2 with 22.0 degrees of freedom ;0;1;0;0,351176;0,9717;0;1;0;0,378133;0,9625;0,969335;0,4485;0,982754;0,4395;28,873176;0,1485;Chi2 with 22.0 degrees of freedom ;;;;0,688642;0,7087;Chi2 with 2.0 degrees of freedom 
RF1431;2012-01-01;2023-12-01;144;;;0;0;2;0;1;1;0,402767768;0,997732603;1,012763117;;;;;5;4,329031;0,0018;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,327584;0,1244;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;52,357594;0,0002;Chi2 with 21.0 degrees of freedom ;0;1;0;0,337134;0,9759;0;1;0;0,624638;0,8052;0,97508;0,4446;1,163862;0,3293;21,202543;0,4466;Chi2 with 21.0 degrees of freedom ;;;;10,243577;0,006;Chi2 with 2.0 degrees of freedom 
RF1439;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,449244572;0,986187261;0,737289058;;;;;11;3,34782;0,4164;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,337947;0,1143;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,532752;0,674;Chi2 with 22.0 degrees of freedom ;1,27246;0,5293;1,27246;0,853766;0,5871;1,917652;0,3833;1,917652;0,954824;0,4909;1,241825;0,2889;1,510313;0,1793;22,468232;0,4323;Chi2 with 22.0 degrees of freedom ;;;;3,007442;0,2223;Chi2 with 2.0 degrees of freedom 
RF1511;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,208594384;0,798385927;0,832902718;;;;;3;2,680492;0,4554;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,080538;0,7067;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,452267;0,6789;Chi2 with 22.0 degrees of freedom ;0;1;0;0,349537;0,9722;0;1;0;0,307841;0,9832;2,882944;0,0112;2,839334;0,0123;33,045639;0,0612;Chi2 with 22.0 degrees of freedom ;;;;0,356664;0,8367;Chi2 with 2.0 degrees of freedom 
RF1512;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,387003131;0,801492034;0,770333978;;;;;4;3,025513;0,9525;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,564986;0,0083;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;22,31306;0,4413;Chi2 with 22.0 degrees of freedom ;0;1;0;0,246648;0,9934;0;1;0;0,314433;0,9817;0,310201;0,9308;0,357372;0,9045;32,380472;0,0711;Chi2 with 22.0 degrees of freedom ;;;;9,429957;0,009;Chi2 with 2.0 degrees of freedom 
RF1520;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,365381297;0,648953647;0,680464951;;;;;2;2,682213;0,4578;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,091888;0,6677;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;31,894486;0,0792;Chi2 with 22.0 degrees of freedom ;0;1;0;0,565922;0,8534;0,043214;0,9786;0,043214;0,49121;0,906;0,764352;0,5992;0,947804;0,4632;28,522868;0,159;Chi2 with 22.0 degrees of freedom ;;;;0,411616;0,814;Chi2 with 2.0 degrees of freedom 
RF1621;2012-01-01;2023-12-01;144;;;1;0;1;0;1;1;0,113851663;0,641005695;0,709577348;;;;;9;3,844631;0,0476;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,265042;0,2138;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;21,671524;0,4186;Chi2 with 21.0 degrees of freedom ;0;1;0;0,122669;0,9997;0;1;0;0,109316;0,9999;1,158808;0,3321;1,17939;0,3209;21,828438;0,4095;Chi2 with 21.0 degrees of freedom ;;;;5,726896;0,0571;Chi2 with 2.0 degrees of freedom 
RF1623;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,137318578;0,30786319;0,335595634;;;;;3;5,162052;0;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,609862;0,0044;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;14,244157;0,8926;Chi2 with 22.0 degrees of freedom ;15,749941;0,0004;15,749941;0,588223;0,8357;12,321617;0,0021;12,321617;0,575756;0,8457;0,708019;0,6437;0,841535;0,54;24,827062;0,3054;Chi2 with 22.0 degrees of freedom ;;;;16,290031;0,0003;Chi2 with 2.0 degrees of freedom 
RF1624;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,183453016;0,329062854;0,353977409;;;;;3;3,349333;0,4144;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,338978;0,1132;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;23,581528;0,3695;Chi2 with 22.0 degrees of freedom ;0;1;0;0,370936;0,9652;0;1;0;0,305287;0,9838;2,493701;0,0255;2,583705;0,0211;14,935892;0,865;Chi2 with 22.0 degrees of freedom ;;;;3,021918;0,2207;Chi2 with 2.0 degrees of freedom 
RF1629;2013-01-01;2023-12-01;132;;;1;0;0;1;1;0;0,272909118;0,455733438;0,499917369;;;;;5;3,361129;0,4194;Normal with Mean = 3.0 and Stdev = 0.4472135954999579;-0,575882;0,01;Normal with Mean = 0.0 and Stdev = 0.22360679774997896;26,860416;0,2166;Chi2 with 22.0 degrees of freedom ;8,185045;0,0167;8,185045;1,385209;0,1887;3,387213;0,1839;3,387213;1,361382;0,2003;0,930625;0,4756;0,819737;0,5566;13,598751;0,9151;Chi2 with 22.0 degrees of freedom ;;;;6,964748;0,0307;Chi2 with 2.0 degrees of freedom 
RF1711;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,937994342;1,099457839;1,136995107;;;;;4;3,587853;0,1696;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,051374;0,8103;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;14,890439;0,8669;Chi2 with 22.0 degrees of freedom ;0;1;0;0,704404;0,7326;0;1;0;0,489053;0,9073;0,127622;0,9927;0,13739;0,9911;21,394859;0,4965;Chi2 with 22.0 degrees of freedom ;;;;3,548397;0,1696;Chi2 with 2.0 degrees of freedom 
RF1712;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,300476311;0,443095168;0,466890629;;;;;5;2,648438;0,4114;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,164655;0,4417;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;17,919075;0,7108;Chi2 with 22.0 degrees of freedom ;0;1;0;0,537041;0,875;0;1;0;0,728402;0,7096;0,197499;0,977;0,211235;0,9727;31,431209;0,0876;Chi2 with 22.0 degrees of freedom ;;;;1,124097;0,57;Chi2 with 2.0 degrees of freedom 
RF1721;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,137031033;0,27076011;0,297636079;;;;;4;3,185471;0,6648;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,322205;0,1322;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;15,420741;0,8436;Chi2 with 22.0 degrees of freedom ;0;1;0;0,598481;0,8273;0;1;0;0,869937;0,5714;0,614838;0,7181;0,695043;0,654;18,76501;0,6598;Chi2 with 22.0 degrees of freedom ;;;;2,474367;0,2902;Chi2 with 2.0 degrees of freedom 
RF1722;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,556347199;1,182265087;1,112467546;;;;;4;3,066628;0,8763;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,08754;0,6825;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;14,011479;0,9011;Chi2 with 22.0 degrees of freedom ;0;1;0;0,113671;0,9998;0;1;0;0,284393;0,9879;1,478118;0,1902;1,617551;0,1468;27,163097;0,2051;Chi2 with 22.0 degrees of freedom ;;;;0,545381;0,7613;Chi2 with 2.0 degrees of freedom 
RF1723;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;1,171772879;0,814050041;0,909058753;;;;;6;3,28025;0,5126;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,147087;0,4919;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;29,796935;0,1235;Chi2 with 22.0 degrees of freedom ;3,205191;0,2014;3,205191;1,22934;0,274;5,13638;0,0767;5,13638;0,983056;0,4652;2,262348;0,0411;2,973318;0,0093;23,983132;0,3481;Chi2 with 22.0 degrees of freedom ;;;;1,599764;0,4494;Chi2 with 2.0 degrees of freedom 
RF1724;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,336217521;0,542268243;0,567932053;;;;;3;3,843061;0,0489;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,409915;0,0554;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;15,298302;0,8491;Chi2 with 22.0 degrees of freedom ;0;1;0;0,232868;0,9948;0;1;0;0,304163;0,984;0,985109;0,4379;1,164117;0,3292;23,319574;0,3839;Chi2 with 22.0 degrees of freedom ;;;;5,846763;0,0538;Chi2 with 2.0 degrees of freedom 
RF1729;2013-01-01;2023-12-01;132;;;0;1;1;0;1;1;0,159491335;0,425371143;0,460000121;;;;;5;2,751722;0,5804;Normal with Mean = 3.0 and Stdev = 0.44908871313907184;0,287598;0,2003;Normal with Mean = 0.0 and Stdev = 0.22454435656953592;18,785376;0,6585;Chi2 with 22.0 degrees of freedom ;0;1;0;0,217521;0,9961;0;1;0;0,326474;0,9786;1,117976;0,3557;1,264119;0,2788;17,652608;0,7264;Chi2 with 22.0 degrees of freedom ;;;;2,261847;0,3227;Chi2 with 2.0 degrees of freedom 
RF1812;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,238314737;0,462997027;0,45577621;;;;;12;3,276491;0,5183;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,181514;0,3964;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;35,621768;0,0333;Chi2 with 22.0 degrees of freedom ;0;1;0;0,259022;0,9918;0;1;0;0,338928;0,9754;0,549055;0,77;0,605967;0,7252;21,454436;0,4928;Chi2 with 22.0 degrees of freedom ;;;;1,70345;0,4267;Chi2 with 2.0 degrees of freedom 
RF1813;2013-01-01;2023-12-01;132;;;0;1;1;0;1;1;0,312935661;0,528120189;0,530070889;;;;;5;4,885935;0;Normal with Mean = 3.0 and Stdev = 0.44908871313907184;0,866031;0,0001;Normal with Mean = 0.0 and Stdev = 0.22454435656953592;11,474169;0,9673;Chi2 with 22.0 degrees of freedom ;0;1;0;1,078186;0,3847;0;1;0;1,078766;0,3842;0,81328;0,5615;0,963412;0,4529;24,632538;0,315;Chi2 with 22.0 degrees of freedom ;;;;13,254816;0,0013;Chi2 with 2.0 degrees of freedom 
RF1920;2012-01-01;2023-12-01;144;;;3;2;1;0;1;1;0,621966203;0,840167487;0,850832601;;;;;14;3,803944;0,0613;Normal with Mean = 3.0 and Stdev = 0.4296689244236597;-0,216227;0,3142;Normal with Mean = 0.0 and Stdev = 0.21483446221182986;20,84349;0,3455;Chi2 with 19.0 degrees of freedom ;0;1;0;0,442533;0,9339;0;1;0;0,474132;0,9164;0,85413;0,5305;0,70122;0,6491;27,470531;0,0942;Chi2 with 19.0 degrees of freedom ;;;;5,361554;0,0685;Chi2 with 2.0 degrees of freedom 
RF2011;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,684041884;0,840995568;0,845089941;;;;;4;3,347443;0,4169;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,035335;0,8689;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;32,668504;0,0667;Chi2 with 22.0 degrees of freedom ;0;1;0;0,339298;0,9753;0;1;0;0,282781;0,9881;0,31557;0,928;0,339361;0,915;25,213805;0,287;Chi2 with 22.0 degrees of freedom ;;;;1,798789;0,4068;Chi2 with 2.0 degrees of freedom 
RF2012;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,501771677;1,321820851;1,181371499;;;;;5;3,450529;0,2925;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,000794;0,997;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;35,329746;0,0358;Chi2 with 22.0 degrees of freedom ;0;1;0;0,255604;0,9923;0;1;0;0,208189;0,9969;1,365493;0,2329;1,389153;0,2233;18,965736;0,6474;Chi2 with 22.0 degrees of freedom ;;;;2,483407;0,2889;Chi2 with 2.0 degrees of freedom 
RF2013;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,764966011;0,811713502;0,812998035;;;;;0;3,424504;0,3213;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,295272;0,1677;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;20,999358;0,5208;Chi2 with 22.0 degrees of freedom ;0;1;0;0,230242;0,9951;0;1;0;0,280958;0,9885;1,182461;0,3193;1,238771;0,2904;33,769182;0,0518;Chi2 with 22.0 degrees of freedom ;;;;2,971119;0,2264;Chi2 with 2.0 degrees of freedom 
RF2014;2012-01-01;2023-12-01;144;;;0;0;1;0;1;1;0,74102562;1,570101507;1,39337248;;;;;11;2,993473;0,9878;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,08433;0,6924;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;15,514133;0,8392;Chi2 with 22.0 degrees of freedom ;0;1;0;0,08835;0,9999;0;1;0;0,083941;1;0,093335;0,9969;0,095657;0,9967;26,294576;0,2392;Chi2 with 22.0 degrees of freedom ;;;;0,342902;0,8424;Chi2 with 2.0 degrees of freedom 
RF2015;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,479494856;0,56944526;0,55464613;;;;;1;2,827938;0,6877;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,365261;0,0879;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;20,347417;0,5613;Chi2 with 22.0 degrees of freedom ;0;1;0;0,533057;0,8779;0;1;0;0,5039;0,8979;1,002563;0,4263;1,018956;0,4157;50,468326;0,0005;Chi2 with 22.0 degrees of freedom ;;;;3,879438;0,1437;Chi2 with 2.0 degrees of freedom 
RF2016;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,428747895;0,600742136;0,618835849;;;;;10;3,431403;0,3117;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,31153;0,144;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;30,546265;0,1058;Chi2 with 22.0 degrees of freedom ;0;1;0;0,217066;0,9962;0;1;0;0,257783;0,992;1,77405;0,1089;1,725113;0,1197;19,005764;0,645;Chi2 with 22.0 degrees of freedom ;;;;3,119544;0,2102;Chi2 with 2.0 degrees of freedom 
RF2017;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;1,102268751;1,529072484;1,324259792;;;;;4;2,983789;0,9698;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,318895;0,1362;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;18,098338;0,7001;Chi2 with 22.0 degrees of freedom ;0;1;0;0,312488;0,9822;0;1;0;0,404078;0,9522;1,355309;0,2371;1,446706;0,2013;49,001561;0,0008;Chi2 with 22.0 degrees of freedom ;;;;2,413792;0,2991;Chi2 with 2.0 degrees of freedom 
RF2020;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,171032978;0,71966735;0,76902674;;;;;1;2,550543;0,2919;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,342817;0,1078;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;30,788083;0,1005;Chi2 with 22.0 degrees of freedom ;0;1;0;0,462032;0,9234;0;1;0;0,551399;0,8645;0,344816;0,9119;0,365611;0,8996;14,655318;0,8766;Chi2 with 22.0 degrees of freedom ;;;;5,518075;0,0634;Chi2 with 2.0 degrees of freedom 
RF2030;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,146324066;0,275990682;0,296863106;;;;;6;3,188832;0,6591;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,352569;0,0995;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;17,843229;0,7152;Chi2 with 22.0 degrees of freedom ;0;1;0;0,60755;0,8197;0;1;0;0,699752;0,737;1,369519;0,2313;1,128732;0,3489;20,684516;0,5403;Chi2 with 22.0 degrees of freedom ;;;;2,872425;0,2378;Chi2 with 2.0 degrees of freedom 
RF2041;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,433885891;0,570790969;0,596974464;;;;;4;3,266111;0,5341;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,048248;0,8216;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;16,058405;0,813;Chi2 with 22.0 degrees of freedom ;0;1;0;0,24704;0,9933;0;1;0;0,192051;0,9978;0,594774;0,7341;0,711616;0,6408;35,477138;0,0345;Chi2 with 22.0 degrees of freedom ;;;;1,333237;0,5134;Chi2 with 2.0 degrees of freedom 
RF2042;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,18788799;0,716460369;0,434225133;;;;;11;3,349212;0,4146;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,606387;0,0046;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;24,682326;0,3125;Chi2 with 22.0 degrees of freedom ;1,049877;0,5916;1,049877;0,46652;0,9208;0,42656;0,8079;0,42656;0,931164;0,5129;1,447106;0,2012;1,306663;0,2583;27,667077;0,187;Chi2 with 22.0 degrees of freedom ;;;;8,759864;0,0125;Chi2 with 2.0 degrees of freedom 
RF2051;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,51913635;1,429442926;1,23532913;;;;;4;3,421755;0,3245;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,313091;0,1435;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;12,601369;0,9437;Chi2 with 22.0 degrees of freedom ;0;1;0;0,215173;0,9964;0;1;0;0,46441;0,922;1,073729;0,3813;1,228538;0,2955;12,052639;0,9563;Chi2 with 22.0 degrees of freedom ;;;;3,074439;0,215;Chi2 with 2.0 degrees of freedom 
RF2052;2012-01-01;2023-12-01;144;;;0;1;1;1;1;0;0,234605341;0,721046952;0,781523496;;;;;10;2,876724;0,7733;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,374084;0,0805;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;24,836006;0,305;Chi2 with 22.0 degrees of freedom ;0;1;0;0,453872;0,9279;0;1;0;0,907098;0,5356;1,467707;0,1938;1,57827;0,158;24,32733;0,3303;Chi2 with 22.0 degrees of freedom ;;;;3,851899;0,1457;Chi2 with 2.0 degrees of freedom 
RF2053;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,281264454;0,787576145;0,81184992;;;;;2;2,868084;0,7579;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,193976;0,3647;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;20,68545;0,5402;Chi2 with 22.0 degrees of freedom ;0;1;0;0,453955;0,9278;0;1;0;0,479798;0,913;2,239019;0,0431;2,483171;0,026;25,664524;0,2664;Chi2 with 22.0 degrees of freedom ;;;;0,909894;0,6345;Chi2 with 2.0 degrees of freedom 
RF2059;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;1,029500506;1,048022153;1,150455659;;;;;6;2,85809;0,7402;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,10678;0,6178;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;35,987472;0,0305;Chi2 with 22.0 degrees of freedom ;0;1;0;0,712077;0,7253;0;1;0;0,472892;0,9171;0,569772;0,7538;0,642529;0,696;25,262748;0,2847;Chi2 with 22.0 degrees of freedom ;;;;0,274028;0,872;Chi2 with 2.0 degrees of freedom 
RF2060;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,371167253;0,667334265;0,607986889;;;;;2;3,586579;0,1706;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,183508;0,3912;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;38,586817;0,0157;Chi2 with 22.0 degrees of freedom ;0;1;0;0,252604;0,9926;0;1;0;0,364858;0,9673;0,635625;0,7015;0,729202;0,6269;18,649912;0,6668;Chi2 with 22.0 degrees of freedom ;;;;3,604801;0,1649;Chi2 with 2.0 degrees of freedom 
RF2110;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,749557258;0,866236845;0,891201534;;;;;1;2,937674;0,8838;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,110381;0,6046;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;17,474268;0,7367;Chi2 with 22.0 degrees of freedom ;0;1;0;0,729276;0,7088;0;1;0;0,602935;0,8236;1,200541;0,3098;1,311153;0,2563;28,337134;0,1648;Chi2 with 22.0 degrees of freedom ;;;;0,347421;0,8405;Chi2 with 2.0 degrees of freedom 
RF2120;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,455332201;1,179227082;1,143363105;;;;;3;2,7461;0,5531;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,172056;0,4214;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;17,203992;0,752;Chi2 with 22.0 degrees of freedom ;0;1;0;0,21126;0,9966;0;1;0;0,305803;0,9836;0,356714;0,9049;0,438944;0,8517;21,712494;0,4772;Chi2 with 22.0 degrees of freedom ;;;;0,881818;0,6435;Chi2 with 2.0 degrees of freedom 
RF2211;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,162732879;0,635462045;0,343215781;;;;;10;3,639845;0,1349;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,484446;0,0236;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;28,580442;0,1572;Chi2 with 22.0 degrees of freedom ;0;1;0;0,225692;0,9955;0;1;0;0,367125;0,9665;1,166425;0,3279;1,11993;0,354;13,018988;0,9326;Chi2 with 22.0 degrees of freedom ;;;;5,493368;0,0641;Chi2 with 2.0 degrees of freedom 
RF2219;2012-01-01;2023-12-01;144;;;1;0;1;1;1;0;0,203944473;0,415731288;0,451061141;;;;;9;3,129949;0,7606;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,102812;0,6296;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;7,679685;0,9964;Chi2 with 21.0 degrees of freedom ;0;1;0;0,271675;0,99;0;1;0;0,223038;0,9957;0,999333;0,4285;0,987901;0,436;10,188687;0,9764;Chi2 with 21.0 degrees of freedom ;;;;0,8052;0,6686;Chi2 with 2.0 degrees of freedom 
RF2221;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,119161313;0,276617185;0,303600632;;;;;4;3,497462;0,2451;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,08635;0,6866;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;28,405669;0,1626;Chi2 with 22.0 degrees of freedom ;0;1;0;0,288568;0,9871;0;1;0;0,261943;0,9914;1,107165;0,3614;1,178453;0,3214;28,572926;0,1575;Chi2 with 22.0 degrees of freedom ;;;;2,855679;0,2398;Chi2 with 2.0 degrees of freedom 
